Location,Location_2,n_samples,mean_accuracy,ci_lower,ci_upper
ctx-lh-superiorparietal,ctx-lh-superiorparietal,80,0.8125,0.7134167737100687,0.8829468953302269
ctx-lh-superiorparietal,ctx-rh-superiorparietal,20,0.75,0.5312991223812559,0.8881382985923344
Right-Hippocampus,Left-Hippocampus,30,0.8666666666666668,0.703186733179637,0.9469034451594526
Right-Hippocampus,ctx-lh-middletemporal,70,0.8428571428571429,0.7401175342315778,0.909923794401382
Right-Hippocampus,ctx-lh-fusiform,26,0.7733333333333334,0.5794844592105631,0.8896615059421672
Right-Hippocampus,Right-Hippocampus,254,0.7757647058823529,0.7203970329696616,0.8225722809658353
Right-Hippocampus,ctx-rh-fusiform,56,0.9106060606060605,0.8074399861448884,0.9612578515504131
Right-Hippocampus,ctx-rh-middletemporal,246,0.8006530612244898,0.7464487571275102,0.8459269066177788
Right-Hippocampus,ctx-rh-lateralorbitofrontal,260,0.8038461538461539,0.751304547293923,0.8475399281202929
Right-Hippocampus,ctx-rh-parstriangularis,140,0.7928571428571429,0.7183483042801226,0.8517237783606497
Right-Hippocampus,ctx-rh-insula,162,0.7102272727272727,0.6357750123990663,0.7742551482347763
Right-Hippocampus,ctx-rh-precentral,110,0.8,0.7157046653839022,0.8640489734371993
Right-Hippocampus,ctx-rh-inferiorparietal,64,0.7346153846153846,0.6151712627143486,0.8270362092577739
Right-Hippocampus,ctx-rh-supramarginal,20,0.65,0.43285427668523624,0.818808175898918
ctx-rh-fusiform,ctx-lh-middletemporal,36,0.8357142857142857,0.6810920568872053,0.921295524049819
ctx-rh-fusiform,Right-Hippocampus,56,0.9121212121212121,0.8074399861448884,0.9612578515504131
ctx-rh-fusiform,ctx-rh-fusiform,40,0.825,0.6805000966821227,0.9125458625396409
ctx-rh-fusiform,ctx-rh-middletemporal,52,0.7872727272727272,0.6596789537149542,0.8775562946751251
ctx-rh-fusiform,ctx-rh-lateralorbitofrontal,42,0.7416666666666666,0.5893126929422804,0.8469735971216702
ctx-rh-fusiform,ctx-rh-parstriangularis,38,0.7928571428571429,0.6365422052467259,0.8892520815700412
ctx-rh-middletemporal,Left-Hippocampus,56,0.8757575757575757,0.7637452344180986,0.9381093130428289
ctx-rh-middletemporal,ctx-lh-middletemporal,126,0.8335384615384616,0.7586147124827934,0.888328111195741
ctx-rh-middletemporal,ctx-lh-fusiform,42,0.8555555555555555,0.7215891052555522,0.9328403298403735
ctx-rh-middletemporal,Right-Hippocampus,246,0.8208979591836736,0.7684239923406107,0.863977054090171
ctx-rh-middletemporal,ctx-rh-fusiform,52,0.8254545454545456,0.702691358755192,0.9061752560868979
ctx-rh-middletemporal,ctx-rh-middletemporal,332,0.8071913161465399,0.7613795328410552,0.8460499391376134
ctx-rh-middletemporal,ctx-rh-lateralorbitofrontal,230,0.7782608695652173,0.7202497891193348,0.8271296218949812
