Location,Location_2,n_samples,mean_accuracy,std_accuracy
ctx-rh-precentral,Right-Amygdala,44,0.7055555555555555,0.08534606386520677
ctx-rh-precentral,ctx-rh-bankssts,50,0.72,0.11661903789690603
Left-Amygdala,ctx-lh-medialorbitofrontal,22,0.67,0.18867962264113208
Left-Amygdala,Right-Hippocampus,34,0.8857142857142858,0.1665986255670086
Left-Amygdala,ctx-rh-middletemporal,72,0.8323809523809524,0.08557660900661054
ctx-lh-middletemporal,ctx-lh-transversetemporal,36,0.7428571428571429,0.16659862556700858
ctx-lh-middletemporal,ctx-lh-medialorbitofrontal,48,0.7911111111111111,0.11008414290222968
Left-Hippocampus,ctx-lh-medialorbitofrontal,30,0.8333333333333334,0.18257418583505536
ctx-lh-inferiortemporal,ctx-lh-superiortemporal,24,0.79,0.12806248474865697
ctx-lh-inferiortemporal,Right-Hippocampus,22,0.9,0.1224744871391589
ctx-lh-inferiortemporal,ctx-rh-middletemporal,34,0.7523809523809524,0.26151486129039964
ctx-lh-superiortemporal,ctx-lh-inferiortemporal,24,0.7,0.17888543819998318
ctx-lh-superiortemporal,ctx-lh-transversetemporal,44,0.6416666666666667,0.15918387535438228
ctx-lh-superiortemporal,ctx-lh-medialorbitofrontal,30,0.8,0.12472191289246473
ctx-lh-superiortemporal,ctx-rh-middletemporal,22,0.8699999999999999,0.1661324772583615
ctx-lh-transversetemporal,ctx-lh-middletemporal,36,0.7214285714285713,0.15714285714285717
ctx-lh-transversetemporal,ctx-lh-superiortemporal,44,0.663888888888889,0.13619611857923625
ctx-lh-transversetemporal,ctx-lh-lateralorbitofrontal,32,0.5857142857142856,0.13850513878332368
ctx-lh-medialorbitofrontal,Left-Amygdala,22,0.82,0.09273618495495704
ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,48,0.7444444444444445,0.12008227632094487
ctx-lh-medialorbitofrontal,Left-Hippocampus,30,0.8666666666666666,0.06666666666666665
ctx-lh-medialorbitofrontal,ctx-lh-superiortemporal,30,0.7,0.0666666666666667
ctx-lh-medialorbitofrontal,ctx-lh-lateralorbitofrontal,22,0.8099999999999999,0.09695359714832658
ctx-lh-medialorbitofrontal,ctx-lh-parstriangularis,22,0.6799999999999999,0.11224972160321826
